"index","id","chain","offer","repeattrips","repeater","offerdate"
35,86246,205,1208251,5,t,"2013-04-24"
35,86252,205,1197502,16,t,"2013-03-27"
12,12682470,18,1197502,0,f,"2013-03-28"
10,12996040,15,1197502,0,f,"2013-03-25"
10,13089312,15,1204821,0,f,"2013-04-01"
9,13179265,14,1197502,0,f,"2013-03-29"
10,13251776,15,1200581,0,f,"2013-03-30"
9,13540129,14,1200581,0,f,"2013-03-30"
2,13807224,4,1204576,0,f,"2013-04-05"
2,13873775,4,1197502,0,f,"2013-03-26"
2,13974451,4,1197502,0,f,"2013-03-26"
3,14088807,3,1200581,1,t,"2013-04-17"
2,14381137,4,1197502,0,f,"2013-04-04"
12,14576147,18,1197502,0,f,"2013-04-02"
40,15530842,95,1197502,0,f,"2013-04-19"
10,15705695,15,1197502,0,f,"2013-04-02"
5,15738658,17,1197502,0,f,"2013-04-22"
5,15753725,17,1208251,0,f,"2013-04-24"
9,15941277,14,1197502,1,t,"2013-03-26"
2,15994113,4,1197502,0,f,"2013-03-26"
2,16138642,4,1204576,0,f,"2013-04-05"
10,16203579,15,1197502,2,t,"2013-03-25"
9,16238376,14,1197502,1,t,"2013-04-05"
2,16535563,4,1208251,7,t,"2013-04-27"
3,16606739,3,1208252,0,f,"2013-04-24"
2,16646740,4,1197502,0,f,"2013-03-28"
3,16691816,3,1200988,0,f,"2013-03-18"
8,16749437,20,1197502,1,t,"2013-04-01"
15,16797008,88,1197502,1,t,"2013-04-17"
9,17456470,14,1208252,0,f,"2013-04-26"
2,17472223,4,1200988,0,f,"2013-03-23"
10,17486592,15,1197502,1,t,"2013-04-17"
12,17693343,18,1197502,0,f,"2013-03-27"
10,17764186,15,1197502,0,f,"2013-03-25"
2,17888308,4,1204576,0,f,"2013-04-05"
40,17995179,95,1197502,0,f,"2013-04-19"
2,18249735,4,1197502,2,t,"2013-03-25"
3,18259179,3,1208251,0,f,"2013-04-24"
2,18277411,4,1204576,0,f,"2013-04-04"
15,18938874,88,1197502,0,f,"2013-03-26"
2,19069700,4,1197502,0,f,"2013-03-25"
2,19330664,4,1197502,0,f,"2013-03-26"
2,19506471,4,1197502,1,t,"2013-03-28"
2,19591356,4,1197502,1,t,"2013-03-30"
10,19773748,15,1197502,0,f,"2013-04-01"
9,19899195,14,1197502,0,f,"2013-03-26"
10,21024070,15,1208251,1,t,"2013-04-23"
9,21419778,14,1197502,0,f,"2013-03-25"
2,21603296,4,1208251,0,f,"2013-04-26"
3,21622166,3,1197502,0,f,"2013-03-29"
10,21837001,15,1204576,0,f,"2013-04-07"
10,21860840,15,1197502,0,f,"2013-03-28"
12,22077078,18,1197502,0,f,"2013-03-26"
10,22491084,15,1197502,1,t,"2013-03-26"
2,22709494,4,1204822,1,t,"2013-04-21"
12,22725281,18,1197502,0,f,"2013-03-28"
8,22791304,20,1197502,0,f,"2013-03-27"
5,22816872,17,1197502,0,f,"2013-04-16"
5,23270065,17,1197502,0,f,"2013-03-29"
5,23412989,17,1197502,0,f,"2013-04-23"
10,23447825,15,1197502,0,f,"2013-03-26"
12,23486921,18,1197502,0,f,"2013-03-26"
40,23791057,95,1208251,2,t,"2013-04-24"
2,44975538,2,1197502,0,f,"2013-03-25"
10,48445984,15,1197502,0,f,"2013-03-25"
12,48464291,18,1208251,0,f,"2013-04-23"
2,48468053,4,1197502,0,f,"2013-03-31"
10,48682962,15,1197502,0,f,"2013-04-06"
40,48693550,95,1197502,0,f,"2013-03-31"
2,48991232,4,1197502,0,f,"2013-03-28"
3,49165299,3,1200581,1,t,"2013-03-31"
2,49315424,4,1197502,0,f,"2013-03-31"
2,49326153,4,1197502,0,f,"2013-03-25"
9,49434116,14,1197502,0,f,"2013-03-28"
2,49451971,4,1197502,1,t,"2013-03-27"
2,49613173,4,1200581,0,f,"2013-04-06"
15,49806426,88,1200581,0,f,"2013-03-30"
5,49817353,17,1197502,0,f,"2013-04-21"
3,49914843,3,1197502,0,f,"2013-04-03"
10,50380832,15,1197502,0,f,"2013-04-02"
12,50411403,18,1197502,1,t,"2013-04-07"
12,50622160,18,1197502,0,f,"2013-03-31"
3,50808053,3,1197502,0,f,"2013-04-02"
10,50865818,15,1197502,0,f,"2013-03-26"
5,50869828,17,1197502,0,f,"2013-04-18"
2,51099044,4,1197502,0,f,"2013-04-19"
9,51122746,14,1197502,0,f,"2013-03-26"
2,51150009,4,1197502,0,f,"2013-03-25"
2,51441524,4,1197502,0,f,"2013-03-30"
10,51531106,15,1197502,0,f,"2013-03-27"
10,52503923,15,1204821,0,f,"2013-04-02"
5,52566892,17,1200581,0,f,"2013-03-30"
15,52598384,88,1197502,1,t,"2013-03-25"
12,52732914,18,1197502,0,f,"2013-03-28"
12,52933935,18,1197502,0,f,"2013-04-09"
9,53002206,14,1197502,0,f,"2013-03-25"
12,53024321,18,1197502,3,t,"2013-04-18"
10,53042409,15,1197502,0,f,"2013-03-30"
2,53066499,4,1197502,1,t,"2013-03-28"
40,53078911,95,1200581,0,f,"2013-04-01"
10,53250970,15,1204576,1,t,"2013-04-18"
2,53391520,4,1197502,0,f,"2013-03-28"
2,53421384,4,1197502,0,f,"2013-03-31"
8,53994426,20,1197502,0,f,"2013-03-28"
15,54108377,88,1197502,0,f,"2013-04-05"
5,54196583,17,1200582,0,f,"2013-04-17"
2,54625209,4,1208251,0,f,"2013-04-23"
40,54825809,95,1197502,0,f,"2013-03-31"
10,55253605,15,1197502,0,f,"2013-03-26"
5,55431649,17,1197502,0,f,"2013-03-26"
2,55488429,4,1197502,0,f,"2013-04-03"
2,55882738,4,1208251,1,t,"2013-04-23"
10,56118474,15,1204821,0,f,"2013-04-09"
9,56554319,14,1197502,1,t,"2013-03-29"
12,56912376,18,1197502,0,f,"2013-03-25"
2,56939637,4,1200582,0,f,"2013-04-01"
10,57086094,15,1204821,0,f,"2013-04-14"
10,57132131,15,1208251,0,f,"2013-04-23"
15,57337945,88,1197502,0,f,"2013-03-25"
12,57414874,18,1197502,0,f,"2013-03-26"
9,57465732,14,1197502,0,f,"2013-03-25"
12,57530684,18,1197502,0,f,"2013-03-25"
10,57608943,15,1197502,0,f,"2013-03-29"
10,57674291,15,1197502,0,f,"2013-03-28"
10,57719559,15,1197502,1,t,"2013-03-27"
5,57850102,17,1197502,1,t,"2013-03-25"
2,57973513,4,1197502,0,f,"2013-03-27"
15,58099874,88,1197502,1,t,"2013-03-25"
10,58121773,15,1197502,0,f,"2013-03-27"
10,58125841,15,1197502,0,f,"2013-04-07"
15,58487625,88,1197502,0,f,"2013-03-29"
2,58520187,4,1197502,1,t,"2013-03-25"
10,58544414,15,1200581,0,f,"2013-04-01"
8,58574978,20,1197502,0,f,"2013-03-25"
12,58762517,18,1204576,2,t,"2013-04-05"
8,59065372,20,1197502,0,f,"2013-03-26"
40,59067761,95,1204822,0,f,"2013-04-19"
15,59192576,88,1197502,0,f,"2013-04-02"
10,59474603,15,1197502,0,f,"2013-03-26"
12,59585609,18,1197502,0,f,"2013-04-24"
9,59816528,14,1204576,3,t,"2013-04-04"
10,60332240,15,1197502,0,f,"2013-03-27"
12,60456293,18,1197502,0,f,"2013-03-25"
10,60619909,15,1197502,0,f,"2013-03-28"
2,60766698,4,1197502,1,t,"2013-04-01"
9,60788872,14,1197502,0,f,"2013-03-28"
40,61031248,95,1197502,0,f,"2013-04-03"
2,61274786,4,1200581,0,f,"2013-04-09"
10,61819046,15,1197502,0,f,"2013-03-28"
15,62231359,88,1208251,0,f,"2013-04-26"
3,62396175,3,1197502,0,f,"2013-03-25"
8,62400998,20,1208251,1,t,"2013-04-25"
9,62471255,14,1208251,1,t,"2013-04-23"
12,62518933,18,1197502,0,f,"2013-03-30"
12,62707639,18,1200581,0,f,"2013-03-30"
2,62803931,4,1197502,0,f,"2013-03-30"
8,63097103,20,1204822,0,f,"2013-04-04"
40,63340358,95,1197502,0,f,"2013-03-25"
2,63422872,4,1197502,0,f,"2013-03-31"
12,63883643,18,1197502,0,f,"2013-04-01"
3,63904880,3,1208252,0,f,"2013-04-23"
10,63949570,15,1197502,0,f,"2013-03-26"
5,64086470,17,1197502,0,f,"2013-03-30"
5,64160330,17,1208252,0,f,"2013-04-23"
2,64288458,4,1197502,0,f,"2013-03-25"
5,64324753,17,1197502,0,f,"2013-03-26"
12,64585626,18,1208252,0,f,"2013-04-23"
10,64778099,15,1200581,0,f,"2013-03-31"
5,65519775,17,1208251,0,f,"2013-04-28"
12,65550743,18,1197502,0,f,"2013-04-22"
40,65594165,95,1197502,1,t,"2013-03-27"
2,65599099,4,1197502,0,f,"2013-04-06"
10,65923948,15,1197502,1,t,"2013-03-25"
15,66507967,88,1197502,0,f,"2013-03-25"
2,66986222,4,1197502,0,f,"2013-04-21"
10,67209680,15,1197502,0,f,"2013-04-01"
8,67274959,20,1204821,0,f,"2013-04-01"
10,67317718,15,1197502,0,f,"2013-03-29"
40,67574740,95,1197502,0,f,"2013-03-26"
2,67619205,4,1197502,0,f,"2013-03-26"
10,67660532,15,1200581,0,f,"2013-03-31"
10,67852785,15,1204576,0,f,"2013-04-07"
9,67957375,14,1204576,0,f,"2013-04-06"
2,68076539,4,1208251,0,f,"2013-04-23"
